Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start DateAscending,Test Match
16,47,26,2,0,61.53,5,lbw,3,v Bangladesh,Chittagong,17 Jan 2010,Test # 1949
143,259,182,13,1,78.57,4,caught,2,v Bangladesh,Dhaka,24 Jan 2010,Test # 1950
DNB,-,-,-,-,-,-,-,4,v Bangladesh,Dhaka,24 Jan 2010,Test # 1950
7,25,16,1,0,43.75,4,caught,2,v South Africa,Nagpur,6 Feb 2010,Test # 1951
100,275,179,13,0,55.86,4,bowled,3,v South Africa,Nagpur,6 Feb 2010,Test # 1951
106,266,206,12,0,51.45,4,caught,2,v South Africa,Kolkata,14 Feb 2010,Test # 1952
8,29,21,1,0,38.09,4,lbw,2,v Sri Lanka,Galle,18 Jul 2010,Test # 1964
84,168,142,11,1,59.15,4,lbw,3,v Sri Lanka,Galle,18 Jul 2010,Test # 1964
203,516,347,23,1,58.50,4,caught,2,v Sri Lanka,Colombo (SSC),26 Jul 2010,Test # 1966
41,88,72,5,0,56.94,4,caught,2,v Sri Lanka,Colombo (PSS),3 Aug 2010,Test # 1968
54,186,122,3,0,44.26,4,caught,4,v Sri Lanka,Colombo (PSS),3 Aug 2010,Test # 1968
98,251,189,13,0,51.85,5,lbw,2,v Australia,Mohali,1 Oct 2010,Test # 1972
38,106,64,5,0,59.37,4,caught,4,v Australia,Mohali,1 Oct 2010,Test # 1972
214,547,363,22,2,58.95,4,bowled,2,v Australia,Bangalore,9 Oct 2010,Test # 1973
53,125,77,5,2,68.83,4,not out,4,v Australia,Bangalore,9 Oct 2010,Test # 1973
40,168,133,5,0,30.07,4,caught,1,v New Zealand,Ahmedabad,4 Nov 2010,Test # 1974
12,27,25,2,0,48.00,4,bowled,3,v New Zealand,Ahmedabad,4 Nov 2010,Test # 1974
13,52,28,1,0,46.42,4,caught,2,v New Zealand,Hyderabad (Deccan),12 Nov 2010,Test # 1975
DNB,-,-,-,-,-,-,-,4,v New Zealand,Hyderabad (Deccan),12 Nov 2010,Test # 1975
61,162,129,8,0,47.28,4,caught,2,v New Zealand,Nagpur,20 Nov 2010,Test # 1978
36,61,34,8,0,105.88,4,lbw,1,v South Africa,Centurion,16 Dec 2010,Test # 1985
111,327,241,13,1,46.05,5,not out,3,v South Africa,Centurion,16 Dec 2010,Test # 1985
13,42,22,3,0,59.09,4,caught,1,v South Africa,Durban,26 Dec 2010,Test # 1987
6,22,10,1,0,60.00,4,caught,3,v South Africa,Durban,26 Dec 2010,Test # 1987
146,465,314,17,2,46.49,4,bowled,2,v South Africa,Cape Town,2 Jan 2011,Test # 1988
14,146,91,0,0,15.38,4,not out,4,v South Africa,Cape Town,2 Jan 2011,Test # 1988
34,90,58,6,0,58.62,4,caught,2,v England,Lord's,21 Jul 2011,Test # 2000
12,84,68,1,0,17.64,5,lbw,4,v England,Lord's,21 Jul 2011,Test # 2000
16,33,34,3,0,47.05,4,caught,2,v England,Nottingham,29 Jul 2011,Test # 2001
56,136,86,8,0,65.11,4,lbw,4,v England,Nottingham,29 Jul 2011,Test # 2001
1,10,8,0,0,12.50,4,caught,1,v England,Birmingham,10 Aug 2011,Test # 2003
40,92,60,8,0,66.66,4,run out,3,v England,Birmingham,10 Aug 2011,Test # 2003
23,65,34,4,0,67.64,4,caught,2,v England,The Oval,18 Aug 2011,Test # 2004
91,235,172,11,0,52.90,4,lbw,3,v England,The Oval,18 Aug 2011,Test # 2004
7,25,18,1,0,38.88,4,lbw,2,v West Indies,Delhi,6 Nov 2011,Test # 2015
76,200,148,10,0,51.35,4,lbw,4,v West Indies,Delhi,6 Nov 2011,Test # 2015
38,74,71,5,0,53.52,4,caught,1,v West Indies,Kolkata,14 Nov 2011,Test # 2017
94,219,153,8,2,61.43,4,caught,2,v West Indies,Mumbai,22 Nov 2011,Test # 2019
3,6,7,0,0,42.85,4,caught,4,v West Indies,Mumbai,22 Nov 2011,Test # 2019
73,151,98,8,1,74.48,4,bowled,2,v Australia,Melbourne,26 Dec 2011,Test # 2025
32,73,46,4,0,69.56,4,caught,4,v Australia,Melbourne,26 Dec 2011,Test # 2025
41,133,89,8,0,46.06,4,bowled,1,v Australia,Sydney,3 Jan 2012,Test # 2027
80,213,141,9,0,56.73,4,caught,3,v Australia,Sydney,3 Jan 2012,Test # 2027
15,46,25,3,0,60.00,4,lbw,1,v Australia,Perth,13 Jan 2012,Test # 2029
8,22,16,1,0,50.00,4,lbw,3,v Australia,Perth,13 Jan 2012,Test # 2029
25,94,69,3,0,36.23,4,caught,2,v Australia,Adelaide,24 Jan 2012,Test # 2031
13,46,34,2,0,38.23,4,caught,4,v Australia,Adelaide,24 Jan 2012,Test # 2031
19,86,62,2,0,30.64,4,bowled,1,v New Zealand,Hyderabad (Deccan),23 Aug 2012,Test # 2054
17,61,50,3,0,34.00,4,bowled,2,v New Zealand,Bangalore,31 Aug 2012,Test # 2055
27,78,34,5,0,79.41,4,bowled,4,v New Zealand,Bangalore,31 Aug 2012,Test # 2055
13,25,18,2,0,72.22,4,caught,1,v England,Ahmedabad,15 Nov 2012,Test # 2058
DNB,-,-,-,-,-,-,-,4,v England,Ahmedabad,15 Nov 2012,Test # 2058
8,14,12,1,0,66.66,4,bowled,1,v England,Mumbai,23 Nov 2012,Test # 2062
8,28,19,2,0,42.10,4,lbw,3,v England,Mumbai,23 Nov 2012,Test # 2062
76,202,155,13,0,49.03,4,caught,1,v England,Kolkata,5 Dec 2012,Test # 2065
5,17,6,1,0,83.33,4,caught,3,v England,Kolkata,5 Dec 2012,Test # 2065
2,25,13,0,0,15.38,4,bowled,2,v England,Nagpur,13 Dec 2012,Test # 2066
81,257,159,7,0,50.94,4,bowled,2,v Australia,Chennai,22 Feb 2013,Test # 2074
13,10,10,0,2,130.00,4,not out,4,v Australia,Chennai,22 Feb 2013,Test # 2074
7,32,15,1,0,46.66,4,caught,2,v Australia,Hyderabad (Deccan),2 Mar 2013,Test # 2076
37,125,81,5,0,45.67,4,caught,2,v Australia,Mohali,14 Mar 2013,Test # 2081
21,71,23,2,0,91.30,4,run out,4,v Australia,Mohali,14 Mar 2013,Test # 2081
32,99,53,5,0,60.37,4,lbw,2,v Australia,Delhi,22 Mar 2013,Test # 2085
1,8,5,0,0,20.00,4,lbw,4,v Australia,Delhi,22 Mar 2013,Test # 2085
10,41,24,2,0,41.66,4,lbw,2,v West Indies,Kolkata,6 Nov 2013,Test # 2101
74,150,118,12,0,62.71,4,caught,2,v West Indies,Mumbai,14 Nov 2013,Test # 2102
